unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"2D4D7609-BBF5-BDF9-E063-4804A8C0672F","194000","2025-01-03","LS13 1BY","S","N","F","","46","FERNBANK DRIVE","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2D4D7609-BBF5-BDF9-E063-4804A8C0672F/current"
"36A61A95-2F75-DEF2-E063-4704A8C046AE","191377","2025-04-17","LS13 1BY","T","N","F","","48","FERNBANK DRIVE","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/36A61A95-2F75-DEF2-E063-4704A8C046AE/current"
"2F7F2B43-B7CC-E08F-E063-4804A8C05A49","220000","2025-01-31","LS13 1BZ","S","N","F","","5","FERNBANK DRIVE","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2F7F2B43-B7CC-E08F-E063-4804A8C05A49/current"
"3DCCB7CA-9B66-5B9D-E063-4704A8C0331E","170000","2025-07-28","LS13 1DB","S","N","F","","76","HALF MILE LANE","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-9B66-5B9D-E063-4704A8C0331E/current"
"3B5CE842-7189-EE3A-E063-4804A8C0D6F1","250000","2025-07-04","LS13 1DB","S","N","F","","106","HALF MILE LANE","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3B5CE842-7189-EE3A-E063-4804A8C0D6F1/current"
"44F406B7-1705-1095-E063-4704A8C048D4","212000","2025-10-29","LS13 1DB","T","N","F","","120","HALF MILE LANE","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/44F406B7-1705-1095-E063-4704A8C048D4/current"
"2F7F2B43-B4B9-E08F-E063-4804A8C05A49","290000","2025-02-20","LS13 1DL","T","N","F","","61","AIRE VIEW TERRACE","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2F7F2B43-B4B9-E08F-E063-4804A8C05A49/current"
"2F7F2B43-B575-E08F-E063-4804A8C05A49","199000","2025-01-24","LS13 1DR","T","N","F","","53","COAL HILL GREEN","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2F7F2B43-B575-E08F-E063-4804A8C05A49/current"
"49E87C32-AD1B-591C-E063-4704A8C00C31","255000","2025-02-11","LS13 1DU","S","N","F","","24","WARLEY VIEW","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/49E87C32-AD1B-591C-E063-4704A8C00C31/current"
"49E87C33-0569-591C-E063-4704A8C00C31","87500","2025-02-21","LS13 1ED","F","N","L","","35","FIELDWAY AVENUE","","LEEDS","LEEDS","WEST YORKSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/49E87C33-0569-591C-E063-4704A8C00C31/current"
"49E87C32-A9F4-591C-E063-4704A8C00C31","45000","2025-12-17","LS13 1EG","F","N","L","","27","FIELDWAY CLOSE","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/49E87C32-A9F4-591C-E063-4704A8C00C31/current"
"3B5CE842-7A5B-EE3A-E063-4804A8C0D6F1","60000","2025-01-06","LS13 1EJ","F","N","L","","19","FIELDWAY RISE","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3B5CE842-7A5B-EE3A-E063-4804A8C0D6F1/current"
"3DCCB7CA-A358-5B9D-E063-4704A8C0331E","118000","2025-08-08","LS13 1EJ","F","N","L","","24","FIELDWAY RISE","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-A358-5B9D-E063-4704A8C0331E/current"
"2D4D7609-B7B2-BDF9-E063-4804A8C0672F","71500","2025-01-17","LS13 1EJ","F","N","L","","25","FIELDWAY RISE","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2D4D7609-B7B2-BDF9-E063-4804A8C0672F/current"
"3B5CE842-B2EB-EE3A-E063-4804A8C0D6F1","200000","2025-05-21","LS13 1EJ","S","N","F","","44","FIELDWAY RISE","","LEEDS","LEEDS","WEST YORKSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/3B5CE842-B2EB-EE3A-E063-4804A8C0D6F1/current"
