Web Link (opens in new window),URN,LAESTAB,School name,Ofsted phase,Type of education,School open date,Admissions policy,Sixth form,Designated religious character,Religious ethos,Faith grouping,Ofsted region,Region,Local authority,Parliamentary constituency,Postcode,Multi-academy trust UID,Multi-academy trust name,Academy sponsor UID,Academy sponsor name,The income deprivation affecting children index (IDACI) quintile,Total number of pupils,Statutory lowest age,Statutory highest age,Inspection number of latest full inspection,Inspection type,Inspection type grouping,Event type grouping,Inspection start date,Publication date,Does the latest full inspection relate to the URN of the current school?,URN at time of latest full inspection,LAESTAB at time of latest full inspection,School name at time of latest full inspection,School type at time of latest full inspection,Category of concern,Safeguarding standards,Safeguarding standards - date of judgement,Inclusion,Inclusion - date of judgement,Curriculum and teaching,Curriculum and teaching - date of judgement,Achievement,Achievement - date of judgement,Attendance and behaviour,Attendance and behaviour - date of judgement,Personal development and wellbeing,Personal development and wellbeing - date of judgement,Early years (where applicable),Early years - date of judgement,Post-16 provision (where applicable),Post-16 provision - date of judgement,Leadership and governance,Leadership and governance - date of judgement,Inspection number of latest OEIF graded inspection,Inspection type of latest OEIF graded inspection,Inspection type grouping of latest OEIF graded inspection,Event type grouping of latest OEIF graded inspection,Inspection start date of latest OEIF graded inspection,Publication date of latest OEIF graded inspection,Does the latest OEIF graded inspection relate to the URN of the current school?,URN at time of latest OEIF graded inspection,LAESTAB at time of latest OEIF graded inspection,School name at time of latest OEIF graded inspection,School type at time of latest OEIF graded inspection,Latest OEIF category of concern,Latest OEIF overall effectiveness,Latest OEIF quality of education,Latest OEIF behaviour and attitudes,Latest OEIF personal development,Latest OEIF effectiveness of leadership and management,Latest OEIF  safeguarding is effective?,Latest OEIF early years provision (where applicable),Latest OEIF sixth form provision (where applicable),Latest ungraded inspection number,Date of latest ungraded inspection,Ungraded inspection publication date,Does the ungraded inspection relate to the URN of the current school?,URN at time of the ungraded inspection,LAESTAB at time of the ungraded inspection,School name at time of the ungraded inspection,School type at time of the ungraded inspection,Ungraded inspection overall outcome,Most recent category of concern
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108001,108001,3833052,Burley St Matthias Church of England Voluntary Controlled Primary School,Primary,Voluntary Controlled School,NULL,Not applicable,Does not have a sixth form,Church of England,Does not apply,Christian,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds Central and Headingley,LS4 2HY,NULL,NULL,NULL,NULL,5,190,4,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10379336,S5 Inspection,S5 Inspection,Schools - S5,24/06/2025,07/09/2025,Yes,108001,3833052,Burley St Matthias Church of England Voluntary Controlled Primary School,Voluntary Controlled School,,Not judged,2,2,2,2,Yes,2,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108002,108002,3833053,Middleton St Mary's Church of England Voluntary Controlled Primary School,Primary,Voluntary Controlled School,NULL,Not applicable,Does not have a sixth form,Church of England,Does not apply,Christian,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds South,LS10 3SW,NULL,NULL,NULL,NULL,5,419,2,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10227429,Requires Improvement S5 Reinspection Visit 3,Requires Improvement S5 Reinspection Visit 3,Schools - S5,24/05/2022,17/07/2022,Yes,108002,3833053,Middleton St Mary's Church of England Voluntary Controlled Primary School,Voluntary Controlled School,,2,2,2,2,2,Yes,2,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108003,108003,3833054,Bramley St Peter's Church of England Primary School,Primary,Voluntary Aided School,NULL,Not applicable,Does not have a sixth form,Church of England,Does not apply,Christian,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds West and Pudsey,LS13 3NE,NULL,NULL,NULL,NULL,5,401,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10200651,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,05/10/2021,22/11/2021,Yes,108003,3833054,Bramley St Peter's Church of England Primary School,Voluntary Aided School,,2,2,2,2,2,Yes,2,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108005,108005,3833056,St Bartholomew's CofE Voluntary Controlled Primary School,Primary,Voluntary Controlled School,NULL,Not applicable,Does not have a sixth form,Church of England,Does not apply,Christian,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds West and Pudsey,LS12 1SF,NULL,NULL,NULL,NULL,5,533,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10346219,S5 Inspection,S5 Inspection,Schools - S5,10/12/2024,22/01/2025,Yes,108005,3833056,St Bartholomew's CofE Voluntary Controlled Primary School,Voluntary Controlled School,,Not judged,2,2,2,2,Yes,2,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108008,108008,3833350,St. Oswald's CofE Primary School,Primary,Voluntary Aided School,NULL,Not applicable,Does not have a sixth form,Church of England,Does not apply,Christian,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds North West,LS20 9BT,NULL,NULL,NULL,NULL,2,418,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10289959,06/12/2023,01/02/2024,Yes,108008,3833350,St. Oswald's CofE Primary School,Voluntary Aided School,School remains Good,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108009,108009,3833351,Hawksworth Church of England Primary School,Primary,Voluntary Aided School,NULL,Not applicable,Does not have a sixth form,Church of England,Does not apply,Christian,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds North West,LS20 8NX,NULL,NULL,NULL,NULL,1,96,4,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10313214,05/06/2024,01/07/2024,Yes,108009,3833351,Hawksworth Church of England Primary School,Voluntary Aided School,School remains Good,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108010,108010,3833356,"Lady Elizabeth Hastings' CofE VA Primary School, Thorp Arch",Primary,Voluntary Aided School,NULL,Not applicable,Does not have a sixth form,Church of England,Does not apply,Christian,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Wetherby and Easingwold,LS23 7AQ,NULL,NULL,NULL,NULL,1,109,4,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10340033,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,16/07/2024,23/09/2024,Yes,108010,3833356,"Lady Elizabeth Hastings' CofE VA Primary School, Thorp Arch",Voluntary Aided School,,2,2,2,1,2,Yes,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108011,108011,3833357,Collingham Lady Elizabeth Hastings Church of England Voluntary Aided Primary School,Primary,Voluntary Aided School,NULL,Not applicable,Does not have a sixth form,Church of England,Does not apply,Christian,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Wetherby and Easingwold,LS22 5BS,NULL,NULL,NULL,NULL,1,205,5,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10200415,24/11/2021,16/01/2022,Yes,108011,3833357,Collingham Lady Elizabeth Hastings Church of England Voluntary Aided Primary School,Voluntary Aided School,School remains Good,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108012,108012,3833358,"St Edward's Catholic Primary School, Boston Spa",Primary,Voluntary Aided School,NULL,Not applicable,Does not have a sixth form,Roman Catholic,Does not apply,Christian,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Wetherby and Easingwold,LS23 6DX,NULL,NULL,NULL,NULL,1,191,4,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10229038,S5 Inspection,S5 Inspection,Schools - S5,06/12/2022,21/02/2023,Yes,108012,3833358,"St Edward's Catholic Primary School, Boston Spa",Voluntary Aided School,,2,2,2,1,2,Yes,2,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/108016,108016,3833362,"St Francis Catholic Primary School, Morley",Primary,Voluntary Aided School,NULL,Not applicable,Does not have a sixth form,Roman Catholic,Does not apply,Christian,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds South West and Morley,LS27 9LX,NULL,NULL,NULL,NULL,3,250,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10297239,21/02/2024,24/04/2024,Yes,108016,3833362,"St Francis Catholic Primary School, Morley",Voluntary Aided School,School remains Good,NULL
